Date_1h,Open_1h,High_1h,Low_1h,Close_1h,Vol_1h,Date,Hour
2021-03-05 02:00:00.000,46698.7,47159.9,46384,47101,556.7966592 ,2021-03-05,2
2021-03-05 03:00:00.000,47099,47338.1,46809.3,47269.1,372.5153731 ,2021-03-05,3
2021-03-05 04:00:00.000,47260.5,47304.2,46595.1,46655.8,403.9487522 ,2021-03-05,4
2021-03-05 05:00:00.000,46655.8,47263.4,46655.8,47155.6,339.2708631 ,2021-03-05,5
2021-03-05 06:00:00.000,47155.6,47437.7,46948.2,47396.7,435.3643654 ,2021-03-05,6
2021-03-05 07:00:00.000,47396.7,47540.8,47020.5,47377.7,471.7578988 ,2021-03-05,7
2021-03-05 08:00:00.000,47376.8,47490.4,46407.3,46634.4,986.4443003 ,2021-03-05,8
2021-03-05 09:00:00.000,46634.4,47158.5,46523.4,47069,578.3285793 ,2021-03-05,9
2021-03-05 10:00:00.000,47062,47234.7,46794.6,47072.7,301.2761742 ,2021-03-05,10
2021-03-05 11:00:00.000,47072.8,47524.3,47072.8,47485.5,399.7653345 ,2021-03-05,11
2021-03-05 12:00:00.000,47490.2,47868.1,46978.3,47652.3,528.671114,2021-03-05,12
2021-03-05 13:00:00.000,47652.4,48300,47338.9,48053.4,711.7770741 ,2021-03-05,13
2021-03-05 14:00:00.000,48053.5,48743.7,47925.2,48134.7,787.9619739 ,2021-03-05,14
2021-03-05 15:00:00.000,48129,48687,47823.7,47867.5,598.2263209 ,2021-03-05,15
2021-03-05 16:00:00.000,47867.5,47867.5,46875.9,47650.1,4019.547982 ,2021-03-05,16
2021-03-05 17:00:00.000,47650,48222,47321.7,48095.9,3872.637708 ,2021-03-05,17
2021-03-05 18:00:00.000,48095.9,48542.2,47921.9,48479.1,444.9613916 ,2021-03-05,18
2021-03-05 19:00:00.000,48479.9,49404.2,48315.8,49296.2,416.2837774 ,2021-03-05,19
2021-03-05 20:00:00.000,49289,49449.8,48848.5,49176.9,256.9688408 ,2021-03-05,20
2021-03-05 21:00:00.000,49176.9,49398.7,48898.9,49035.3,168.5291179 ,2021-03-05,21
2021-03-05 22:00:00.000,49035.3,49385.1,48710.5,49054.6,167.3558103 ,2021-03-05,22
2021-03-05 23:00:00.000,49058.4,49150,48597,48749.7,261.0149162 ,2021-03-05,23
2021-03-06 00:00:00.000,48752.6,49159.9,48671.1,48807.8,401.8253914 ,2021-03-06,0
2021-03-06 01:00:00.000,48807.8,48909.4,48520,48640.9,240.4318055 ,2021-03-06,1
2021-03-06 02:00:00.000,48640.8,48721,48203.8,48720.9,195.4922998 ,2021-03-06,2
2021-03-06 03:00:00.000,48720.9,48799.9,48413.1,48637.1,241.4216431 ,2021-03-06,3
2021-03-06 04:00:00.000,48640,48676.4,48111.8,48456,610.6827034 ,2021-03-06,4
2021-03-06 05:00:00.000,48455.9,48865,48200.1,48506.9,3404.59834,2021-03-06,5
2021-03-06 06:00:00.000,48504.2,48974.7,48503,48927.5,1088.569302 ,2021-03-06,6
2021-03-06 07:00:00.000,48927.5,49132.4,48776.3,48828.7,258.4718194 ,2021-03-06,7
2021-03-06 08:00:00.000,48827.7,49107.9,48600,48650.4,329.8221727 ,2021-03-06,8
2021-03-06 09:00:00.000,48650.3,48789.5,48277.9,48338.7,356.0302972 ,2021-03-06,9
2021-03-06 10:00:00.000,48335.4,48494.1,47946.4,48032.1,362.4368664 ,2021-03-06,10
2021-03-06 11:00:00.000,48026.4,48332.8,47973.8,48155.7,331.7632543 ,2021-03-06,11
2021-03-06 12:00:00.000,48175.4,48200,47411.8,47660.6,651.2322189 ,2021-03-06,12
2021-03-06 13:00:00.000,47661.1,47752.7,47061.7,47320.2,473.3859082 ,2021-03-06,13
2021-03-06 14:00:00.000,47320.1,47723.6,47200,47565.1,270.0239433 ,2021-03-06,14
2021-03-06 15:00:00.000,47565.1,47725.5,47250,47266.4,314.8904771 ,2021-03-06,15
2021-03-06 16:00:00.000,47266.4,47929.9,47120,47761.5,340.2519036 ,2021-03-06,16
2021-03-06 17:00:00.000,47761.4,48435.7,47666.6,48251,333.8786369 ,2021-03-06,17
2021-03-06 18:00:00.000,48249.6,48635.4,48124.5,48487,266.3252928 ,2021-03-06,18
2021-03-06 19:00:00.000,48481.5,48698.9,48260,48365.9,379.0207455 ,2021-03-06,19
